因子名称,因子描述,因子类型,序号,数据依赖,来源,经济直觉
alpha101_033,rank(-1*(1-open/close)),字符串公式(单日),1,openPrice|closePrice,FACTOR_FORMULAS,通过截面或时序排序衡量相对强弱（排序类）
alpha191_015,open/prev_close - 1,字符串公式(单日),2,openPrice|preClosePrice,FACTOR_FORMULAS,按原式组合价量时序与截面信息，刻画收益预期差异
alpha191_158,(high-low)/close,字符串公式(单日),3,highestPrice|lowestPrice|closePrice,FACTOR_FORMULAS,按原式组合价量时序与截面信息，刻画收益预期差异
example_mom1d,字符串公式: (closePrice / preClosePrice) - 1,字符串公式(单日),4,closePrice|preClosePrice,FACTOR_FORMULAS,按原式组合价量时序与截面信息，刻画收益预期差异
alpha101_003,"原式: -1*ts_corr(cs_rank(open), cs_rank(volume), 10)",函数因子(多日panel),5,openPrice|lowestPrice|closePrice|turnoverVol|chgPct|vwap|delay|ts_mean|ts_sum|ts_rank|ts_corr|ts_max|rank,register_factor/_alpha101_003,刻画价格与成交量/价量结构的联动强弱（相关性类）
alpha101_004,"原式: -1*Ts_Rank(rank(low), 9)",函数因子(多日panel),6,openPrice|lowestPrice|closePrice|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|ts_rank|ts_max|ts_min|rank,register_factor/_alpha101_004,通过截面或时序排序衡量相对强弱（排序类）
alpha101_005,"原式: rank(open - sum(vwap,10)/10)*(-1*abs(rank(close-vwap)))",函数因子(多日panel),7,openPrice|closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_mean|ts_sum|ts_max|ts_min|rank,register_factor/_alpha101_005,通过截面或时序排序衡量相对强弱（排序类）
alpha101_008,"原式: -1*rank((sum(open,5)*sum(returns,5) - delay(sum(open,5)*sum(returns,5), 10)))",函数因子(多日panel),8,openPrice|closePrice|turnoverVol|chgPct|vwap|delay|ts_delta|ts_sum|ts_cov|ts_max|ts_min|rank,register_factor/_alpha101_008,通过截面或时序排序衡量相对强弱（排序类）
alpha101_010,"原式与 delta(close,1) 及 ts_max 有关，简化: rank(delta(close,1)) 的 ts_max(rank, 5)",函数因子(多日panel),9,highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_sum|ts_corr|ts_cov|ts_max|ts_min|rank,register_factor/_alpha101_010,通过截面或时序排序衡量相对强弱（排序类）
alpha101_011,"原式: (rank(ts_max(vwap-close,3))+rank(ts_min(vwap-close,3)))*rank(delta(volume,3))",函数因子(多日panel),10,highestPrice|closePrice|turnoverVol|vwap|ts_delta|ts_sum|ts_corr|ts_cov|ts_max|ts_min|rank,register_factor/_alpha101_011,通过截面或时序排序衡量相对强弱（排序类）
